,"(0, 0, 5)","(0, 1, 4)","(0, 2, 3)","(0, 3, 2)","(0, 4, 1)","(0, 5, 0)","(1, 0, 4)","(1, 1, 3)","(1, 2, 2)","(1, 3, 1)","(1, 4, 0)","(2, 0, 3)","(2, 1, 2)","(2, 2, 1)","(2, 3, 0)","(3, 0, 2)","(3, 1, 1)","(3, 2, 0)","(4, 0, 1)","(4, 1, 0)","(5, 0, 0)",player,iteration
83,-26.0,-5.0,2.0,-6.0,-16.0,-29.0,-9.0,0.0,-2.0,-5.0,-11.0,-3.0,-3.0,0.0,1.0,-9.0,-4.0,3.0,-16.0,-7.0,-27.0,B,41
84,-20.0,-1.0,15.0,17.0,1.0,-20.0,-11.0,4.0,3.0,1.0,-12.0,-3.0,-5.0,-10.0,-9.0,10.0,4.0,2.0,11.0,8.0,-11.0,A,42
85,-27.0,-5.0,3.0,-5.0,-15.0,-29.0,-10.0,0.0,-1.0,-4.0,-11.0,-4.0,-3.0,1.0,1.0,-10.0,-4.0,3.0,-16.0,-7.0,-27.0,B,42
86,-22.0,-3.0,14.0,17.0,0.0,-22.0,-13.0,2.0,2.0,0.0,-14.0,-4.0,-6.0,-11.0,-10.0,10.0,3.0,1.0,10.0,6.0,-13.0,A,43
87,-26.0,-4.0,4.0,-4.0,-14.0,-28.0,-8.0,2.0,0.0,-3.0,-9.0,-2.0,-2.0,1.0,2.0,-9.0,-4.0,3.0,-16.0,-7.0,-27.0,B,43
88,-22.0,-3.0,14.0,17.0,0.0,-22.0,-12.0,2.0,2.0,1.0,-13.0,-4.0,-7.0,-11.0,-9.0,9.0,2.0,1.0,9.0,5.0,-14.0,A,44
89,-26.0,-4.0,4.0,-4.0,-14.0,-28.0,-7.0,2.0,0.0,-2.0,-8.0,-2.0,-3.0,1.0,3.0,-10.0,-5.0,3.0,-17.0,-8.0,-28.0,B,44
90,-23.0,-4.0,13.0,17.0,1.0,-22.0,-13.0,1.0,1.0,1.0,-13.0,-4.0,-7.0,-11.0,-9.0,10.0,3.0,1.0,10.0,5.0,-14.0,A,45
91,-27.0,-4.0,5.0,-3.0,-13.0,-28.0,-8.0,2.0,1.0,-1.0,-8.0,-3.0,-3.0,2.0,3.0,-11.0,-5.0,3.0,-17.0,-8.0,-28.0,B,45
92,-24.0,-4.0,13.0,16.0,0.0,-23.0,-13.0,1.0,1.0,1.0,-13.0,-4.0,-7.0,-10.0,-8.0,9.0,3.0,2.0,9.0,5.0,-15.0,A,46
93,-27.0,-4.0,5.0,-3.0,-13.0,-28.0,-7.0,2.0,1.0,0.0,-7.0,-3.0,-4.0,2.0,4.0,-12.0,-6.0,3.0,-18.0,-9.0,-29.0,B,46
94,-24.0,-4.0,13.0,17.0,2.0,-22.0,-13.0,1.0,1.0,2.0,-12.0,-3.0,-6.0,-9.0,-7.0,11.0,5.0,3.0,11.0,6.0,-14.0,A,47
95,-28.0,-5.0,4.0,-4.0,-14.0,-29.0,-7.0,1.0,0.0,0.0,-7.0,-4.0,-6.0,1.0,4.0,-14.0,-8.0,2.0,-20.0,-11.0,-31.0,B,47
96,-23.0,-3.0,14.0,18.0,3.0,-21.0,-11.0,2.0,2.0,4.0,-10.0,-2.0,-6.0,-8.0,-5.0,11.0,5.0,4.0,11.0,6.0,-14.0,A,48
97,-29.0,-5.0,4.0,-4.0,-15.0,-31.0,-8.0,1.0,0.0,-1.0,-9.0,-5.0,-6.0,0.0,2.0,-15.0,-9.0,0.0,-21.0,-12.0,-32.0,B,48
98,-23.0,-3.0,14.0,18.0,3.0,-21.0,-10.0,2.0,2.0,5.0,-9.0,-2.0,-7.0,-8.0,-4.0,10.0,4.0,4.0,10.0,5.0,-15.0,A,49
99,-29.0,-5.0,4.0,-4.0,-15.0,-31.0,-7.0,1.0,0.0,0.0,-8.0,-5.0,-7.0,0.0,3.0,-16.0,-10.0,0.0,-22.0,-13.0,-33.0,B,49
100,-24.0,-3.0,14.0,17.0,2.0,-22.0,-10.0,2.0,2.0,5.0,-9.0,-2.0,-7.0,-7.0,-3.0,9.0,4.0,5.0,9.0,5.0,-16.0,A,50
101,-30.0,-5.0,4.0,-5.0,-16.0,-32.0,-7.0,1.0,0.0,0.0,-8.0,-5.0,-7.0,1.0,4.0,-17.0,-10.0,1.0,-23.0,-13.0,-34.0,B,50
102,-24.0,-3.0,15.0,19.0,3.0,-22.0,-10.0,2.0,3.0,6.0,-9.0,-1.0,-6.0,-6.0,-2.0,11.0,5.0,6.0,10.0,5.0,-16.0,A,51
103,-32.0,-6.0,4.0,-5.0,-16.0,-33.0,-9.0,0.0,0.0,0.0,-9.0,-7.0,-8.0,1.0,3.0,-19.0,-11.0,0.0,-24.0,-14.0,-35.0,B,51
104,-24.0,-3.0,15.0,19.0,3.0,-22.0,-9.0,2.0,3.0,7.0,-8.0,-1.0,-7.0,-6.0,-1.0,10.0,4.0,6.0,9.0,4.0,-17.0,A,52
105,-33.0,-7.0,4.0,-5.0,-17.0,-34.0,-9.0,0.0,0.0,0.0,-9.0,-6.0,-8.0,1.0,4.0,-19.0,-12.0,0.0,-25.0,-15.0,-36.0,B,52
106,-25.0,-4.0,15.0,20.0,3.0,-23.0,-10.0,1.0,3.0,7.0,-9.0,-1.0,-7.0,-6.0,-1.0,11.0,4.0,6.0,9.0,3.0,-18.0,A,53
107,-33.0,-7.0,4.0,-5.0,-17.0,-34.0,-8.0,0.0,0.0,1.0,-8.0,-6.0,-9.0,1.0,5.0,-20.0,-13.0,0.0,-26.0,-16.0,-37.0,B,53
108,-27.0,-6.0,13.0,19.0,3.0,-24.0,-12.0,-1.0,1.0,6.0,-10.0,-2.0,-8.0,-7.0,-2.0,11.0,4.0,5.0,9.0,2.0,-19.0,A,54
109,-32.0,-6.0,5.0,-4.0,-16.0,-33.0,-6.0,2.0,2.0,2.0,-7.0,-4.0,-7.0,2.0,5.0,-18.0,-12.0,0.0,-25.0,-16.0,-37.0,B,54
110,-27.0,-6.0,13.0,20.0,5.0,-23.0,-12.0,-1.0,1.0,7.0,-9.0,-1.0,-7.0,-6.0,-1.0,13.0,6.0,6.0,11.0,3.0,-18.0,A,55
111,-33.0,-7.0,4.0,-5.0,-17.0,-34.0,-6.0,1.0,1.0,2.0,-7.0,-5.0,-9.0,1.0,5.0,-20.0,-14.0,-1.0,-27.0,-18.0,-39.0,B,55
